timestamp,ip_address,session_id,method,path,query_string,status_code,user_agent,request_id,response_time_ms,label
2026-06-18 08:00:15.126,172.16.0.20,94b07fc09a85a6fd,GET,/,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,b57036b94938,14.45,human
2026-06-18 08:00:15.538,172.16.0.20,94b07fc09a85a6fd,GET,/cart,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,83389f777d46,23.08,human
2026-06-18 08:00:17.015,172.16.0.20,94b07fc09a85a6fd,GET,/book/3,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,59b74b4e973c,26.7,human
2026-06-18 08:00:17.293,10.0.0.50,d12371da754f8603,GET,/,,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0",4a32bb91556b,38.1,human
2026-06-18 08:00:18.636,172.16.0.20,94b07fc09a85a6fd,GET,/book/10,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,9ebc10a0ee9b,10.68,human
2026-06-18 08:00:18.795,10.0.0.50,d12371da754f8603,GET,/book/6,,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0",e92417357098,30.44,human
2026-06-18 08:00:22.076,10.0.0.50,d12371da754f8603,GET,/book/4,,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0",7f6885e7fbf1,21.17,human
2026-06-18 08:00:22.399,172.16.0.20,94b07fc09a85a6fd,GET,/cart,add=3,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,6f04bc3c7d4b,36.71,human
2026-06-18 08:00:23.231,172.16.0.20,94b07fc09a85a6fd,GET,/books/History & Humanities,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,32ba49f5838e,29.21,human
2026-06-18 08:00:24.475,172.16.0.20,94b07fc09a85a6fd,GET,/books/Literature & Fiction,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,a2b6094ffaa4,6.05,human
2026-06-18 08:00:25.085,172.16.0.20,94b07fc09a85a6fd,GET,/book/11,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,1075f43dd611,44.85,human
2026-06-18 08:00:26.245,172.16.0.20,94b07fc09a85a6fd,GET,/books/Literature & Fiction,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,8d605067b172,15.46,human
2026-06-18 08:00:27.448,172.16.0.20,94b07fc09a85a6fd,GET,/books/Literature & Fiction,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,7fbd0cdac0bd,8.23,human
2026-06-18 08:00:28.830,10.0.0.50,d12371da754f8603,GET,/book/2,,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0",9772da7f6386,45.76,human
2026-06-18 08:00:28.996,172.16.0.20,94b07fc09a85a6fd,GET,/about,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,3761241800a4,49.1,human
2026-06-18 08:00:29.642,172.16.0.20,94b07fc09a85a6fd,GET,/books,,200,Mozilla/5.0 (X11; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0,65772079c319,5.59,human
2026-06-18 08:00:30.941,10.0.0.50,d12371da754f8603,GET,/books,,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0",7496e71c9828,46.96,human
